2025-07-25 11:32:25.200 | INFO     | __main__:initialize:39 - Initializing RSS & Email Aggregator...
2025-07-25 11:32:25.215 | INFO     | __main__:initialize:44 - Database initialized successfully
2025-07-25 11:32:25.215 | ERROR    | email_fetch:authenticate:70 - Gmail credentials file not found: credentials.json
2025-07-25 11:32:25.216 | ERROR    | email_fetch:authenticate:73 - Please download credentials.json from Google Cloud Console
2025-07-25 11:32:25.216 | WARNING  | __main__:initialize:55 - Gmail authentication failed - email features disabled
2025-07-25 11:32:25.217 | INFO     | __main__:run_once:152 - Running one-time fetch...
2025-07-25 11:32:25.217 | INFO     | feeds:fetch_all_feeds:137 - Starting RSS feed fetch cycle
2025-07-25 11:32:25.218 | INFO     | feeds:fetch_single_feed:40 - Fetching RSS feed: Reuters World News (http://feeds.reuters.com/Reuters/worldNews)
2025-07-25 11:32:25.242 | ERROR    | feeds:fetch_single_feed:123 - Network error fetching Reuters World News: HTTPConnectionPool(host='feeds.reuters.com', port=80): Max retries exceeded with url: /Reuters/worldNews (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x000001D7D2EF3610>: Failed to resolve 'feeds.reuters.com' ([Errno 11001] getaddrinfo failed)"))
2025-07-25 11:32:26.243 | INFO     | feeds:fetch_single_feed:40 - Fetching RSS feed: AP Top News (https://apnews.com/hub/ap-top-news/rss.xml)
2025-07-25 11:32:27.400 | WARNING  | feeds:fetch_single_feed:52 - Feed AP Top News may have issues: <unknown>:322:32: not well-formed (invalid token)
2025-07-25 11:32:27.401 | INFO     | feeds:fetch_single_feed:117 - Successfully processed 0 new items from AP Top News
2025-07-25 11:32:28.402 | INFO     | feeds:fetch_single_feed:40 - Fetching RSS feed: BBC World News (http://feeds.bbci.co.uk/news/world/rss.xml)
2025-07-25 11:32:28.605 | INFO     | feeds:fetch_single_feed:99 - Added new item: Israel and US leave Gaza ceasefire talks in Qatar from BBC World News
2025-07-25 11:32:28.608 | INFO     | feeds:fetch_single_feed:99 - Added new item: Philippines top court blocks impeachment bid against Sara Duterte from BBC World News
2025-07-25 11:32:28.610 | INFO     | feeds:fetch_single_feed:99 - Added new item: Trump takes time out to open Scottish golf course from BBC World News
2025-07-25 11:32:28.613 | INFO     | feeds:fetch_single_feed:99 - Added new item: Pro-Palestinian convict freed by France after 41 years from BBC World News
2025-07-25 11:32:28.615 | INFO     | feeds:fetch_single_feed:99 - Added new item: Watch: Trump jokes he wants Powell to lower interest rates in awkward exchange from BBC World News
2025-07-25 11:32:28.618 | INFO     | feeds:fetch_single_feed:99 - Added new item: Australian politician Gareth Ward found guilty of rape from BBC World News
2025-07-25 11:32:28.622 | INFO     | feeds:fetch_single_feed:99 - Added new item: Woman in viral Coldplay concert clip resigns from executive role from BBC World News
2025-07-25 11:32:28.625 | INFO     | feeds:fetch_single_feed:99 - Added new item: US wrestling legend Hulk Hogan dies aged 71 from BBC World News
2025-07-25 11:32:28.628 | INFO     | feeds:fetch_single_feed:99 - Added new item: Maxwell interview about Epstein 'very productive', lawyer says from BBC World News
2025-07-25 11:32:28.631 | INFO     | feeds:fetch_single_feed:99 - Added new item: 'Fantastic progress' in trade deal talks with US - India minister from BBC World News
2025-07-25 11:32:28.634 | INFO     | feeds:fetch_single_feed:99 - Added new item: Five ice hockey players found not guilty in Canada sexual assault case from BBC World News
2025-07-25 11:32:28.637 | INFO     | feeds:fetch_single_feed:99 - Added new item: Watchdog blames 'disproportionate force' by Kenya police for protest deaths from BBC World News
2025-07-25 11:32:28.641 | INFO     | feeds:fetch_single_feed:99 - Added new item: Zelensky backtracks on law over anti-corruption bodies after protests from BBC World News
2025-07-25 11:32:28.644 | INFO     | feeds:fetch_single_feed:99 - Added new item: Kelly Osbourne lost 'best friend' after Ozzy's death from BBC World News
2025-07-25 11:32:28.647 | INFO     | feeds:fetch_single_feed:99 - Added new item: The fractured friendship behind the fight at the Thailand-Cambodia border from BBC World News
2025-07-25 11:32:28.650 | INFO     | feeds:fetch_single_feed:99 - Added new item: We might get killed, but we have to get food, injured Gazan tells BBC from BBC World News
2025-07-25 11:32:28.655 | INFO     | feeds:fetch_single_feed:99 - Added new item: Blood, sweat and tears: Look back at Hulk Hogan's highs and lows from BBC World News
2025-07-25 11:32:28.660 | INFO     | feeds:fetch_single_feed:99 - Added new item: How a vote targeting 'pro-China' lawmakers has split Taiwan from BBC World News
2025-07-25 11:32:28.664 | INFO     | feeds:fetch_single_feed:99 - Added new item: Too hot for Santa as Lapland buckles under record heatwave from BBC World News
2025-07-25 11:32:28.669 | INFO     | feeds:fetch_single_feed:99 - Added new item: He went to get aid and didn't come back - stories of people killed in Gaza from BBC World News
2025-07-25 11:32:28.673 | INFO     | feeds:fetch_single_feed:99 - Added new item: 'I can barely do one story. I just feel dizzy' - BBC's Gaza freelance journalists tell of struggle for food from BBC World News
2025-07-25 11:32:28.676 | INFO     | feeds:fetch_single_feed:99 - Added new item: Why are Thailand and Cambodia fighting at the border? from BBC World News
2025-07-25 11:32:28.679 | INFO     | feeds:fetch_single_feed:99 - Added new item: Watch: Man dons bear costume in Japanese Police animal attack drill from BBC World News
2025-07-25 11:32:28.682 | INFO     | feeds:fetch_single_feed:99 - Added new item: The story behind the photograph of a starving Gaza baby from BBC World News
2025-07-25 11:32:28.686 | INFO     | feeds:fetch_single_feed:99 - Added new item: BBC goes inside rebel-held city in DR Congo from BBC World News
2025-07-25 11:32:28.689 | INFO     | feeds:fetch_single_feed:99 - Added new item: Can you un-bleach coral? BBC visits remote reef to find out from BBC World News
2025-07-25 11:32:28.690 | INFO     | feeds:fetch_single_feed:117 - Successfully processed 26 new items from BBC World News
2025-07-25 11:32:29.692 | INFO     | feeds:fetch_single_feed:40 - Fetching RSS feed: CoinDesk (https://www.coindesk.com/arc/outboundfeeds/rss/)
2025-07-25 11:32:29.971 | INFO     | feeds:fetch_single_feed:99 - Added new item: Crypto Exchange OSL Group Raises $300M Ahead of Hong Kong's Stablecoin Regulation Plan from CoinDesk
2025-07-25 11:32:29.974 | INFO     | feeds:fetch_single_feed:99 - Added new item: XRP Drops 14% After $175M Moved to Exchange by Ripple Co-Founder's Wallet from CoinDesk
2025-07-25 11:32:29.977 | INFO     | feeds:fetch_single_feed:99 - Added new item: XRP Volatility Spikes With $105M in Longs Liquidated Amid ETF Jitters from CoinDesk
